# ResFinder phenotype results.
# Sample: GCF_002313005.1_ASM231300v1_genomic.fna
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	Resistant	2	aac(3)-IId (aac(3)-IId_EU022314)
tobramycin	aminoglycoside	Resistant	2	aac(3)-IId (aac(3)-IId_EU022314)
streptomycin	aminoglycoside	Resistant	3	aph(6)-Id (aph(6)-Id_M28829), aph(3'')-Ib (aph(3'')-Ib_AF321551), aadA2 (aadA2_JQ364967)
amikacin	aminoglycoside	No resistance	0	
isepamicin	aminoglycoside	No resistance	0	
dibekacin	aminoglycoside	Resistant	2	aac(3)-IId (aac(3)-IId_EU022314)
kanamycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_X62115)
neomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_X62115)
lividomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_X62115)
paromomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_X62115)
ribostamycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_X62115)
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	Resistant	2	aac(3)-IId (aac(3)-IId_EU022314)
apramycin	aminoglycoside	Resistant	2	aac(3)-IId (aac(3)-IId_EU022314)
sisomicin	aminoglycoside	Resistant	2	aac(3)-IId (aac(3)-IId_EU022314)
arbekacin	aminoglycoside	No resistance	0	
